,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
81,780000.0,3.0,3.0,0,0,1446.0,Costa Mesa,CA,33.63949,-117.93155,539.4190871369294
83,1285000.0,3.0,3.0,0,0,2027.0,Costa Mesa,CA,33.66603,-117.92009,633.9417858904785
84,990000.0,4.0,5.0,0,0,3117.0,Newport Beach,CA,33.598255,-117.88804,317.61308950914344
85,1295000.0,4.0,4.0,0,0,2378.0,Irvine,CA,33.687576,-117.853325,544.5752733389403
86,1199900.0,3.0,2.0,0,0,1571.0,Costa Mesa,CA,33.68814,-117.92761,763.7810311903246
87,2199000.0,4.0,2.0,0,0,2300.0,Huntington Beach,CA,33.689533,-117.98365,956.0869565217391
88,2995000.0,3.0,3.0,0,0,2460.0,Corona Del Mar,CA,33.606255,-117.86581,1217.479674796748
89,1398000.0,4.0,4.0,0,0,2431.0,Huntington Beach,CA,33.651314,-117.982735,575.0719868366928
90,4999000.0,3.0,4.0,0,0,1896.0,Corona Del Mar,CA,33.59699,-117.87836,2636.603375527426
91,4595000.0,4.0,2.0,0,0,2126.0,Corona Del Mar,CA,33.607445,-117.87128,2161.335841956726
92,29000000.0,5.0,6.0,0,0,7000.0,Corona Del Mar,CA,33.58611,-117.863914,4142.857142857143
93,2570000.0,3.0,4.0,0,0,2824.0,Huntington Beach,CA,33.659603,-118.004074,910.056657223796
94,2350000.0,2.0,3.0,0,0,2131.0,Irvine,CA,33.666122,-117.85305,1102.7686532144533
95,475000.0,2.0,2.0,0,0,1050.0,Newport Beach,CA,33.616188,-117.89768,452.3809523809524
96,6400000.0,3.0,4.0,0,0,3686.0,Corona Del Mar,CA,33.592735,-117.8671,1736.2995116657623
97,1150000.0,4.0,3.0,0,0,1870.0,Costa Mesa,CA,33.686283,-117.90683,614.9732620320856
98,545000.0,3.0,2.0,0,0,1040.0,Newport Beach,CA,33.616962,-117.90051,524.0384615384615
99,1275000.0,4.0,4.0,0,0,2059.0,Huntington Beach,CA,33.685455,-118.00123,619.2326372025256
102,2100000.0,3.0,1.0,0,0,1200.0,Surrey,BC,49.19099,-122.81875,1750.0
103,1488000.0,3.0,3.0,0,0,1301.0,Vancouver,BC,49.26297,-123.06618,1143.7355880092236
105,1299900.0,5.0,3.0,0,0,1962.0,Burnaby,BC,49.225285,-122.94395,662.5382262996942
106,3518000.0,5.0,7.0,0,0,4209.0,Burnaby,BC,49.233597,-122.99219,835.8279876455215
107,1800000.0,5.0,4.0,0,0,2550.0,Vancouver,BC,49.215015,-123.08813,705.8823529411765
108,1488000.0,3.0,1.0,0,0,1182.0,Burnaby,BC,49.275944,-122.964966,1258.8832487309644
110,800000.0,3.0,2.0,0,0,1038.0,Burnaby,BC,49.212944,-122.95514,770.7129094412331
113,1299900.0,3.0,2.0,0,0,1252.0,Vancouver,BC,49.246536,-123.069374,1038.258785942492
114,899000.0,2.0,2.0,0,0,1018.0,North Vancouver,BC,49.315983,-123.07509,883.1041257367388
115,549900.0,2.0,2.0,0,0,1001.0,Burnaby,BC,49.26769,-122.952995,549.3506493506494
116,906900.0,1.0,2.0,0,0,769.0,Coquitlam,BC,49.26426,-122.8901,1179.3237971391418
117,2579000.0,6.0,6.0,0,0,3434.0,Vancouver,BC,49.279675,-123.07332,751.0192195690157
118,528000.0,2.0,1.0,0,0,860.0,Burnaby,BC,49.280006,-122.9854,613.953488372093
119,925000.0,3.0,3.0,0,0,2079.0,Pt Coquitlam,BC,49.23377,-122.79121,444.92544492544494
120,2800000.0,5.0,2.0,0,0,2037.0,Vancouver,BC,49.2231,-123.09045,1374.570446735395
122,1099000.0,4.0,3.0,0,0,1613.0,Pt Moody,BC,49.277817,-122.869896,681.3391196528208
123,968000.0,3.0,3.0,0,0,1443.0,Pt Coquitlam,BC,49.25473,-122.72952,670.8246708246709
129,598000.0,1.0,1.0,0,0,736.0,New Westminster,BC,49.203625,-122.90762,812.5
132,2030000.0,5.0,4.0,0,0,2782.0,Burnaby,BC,49.272472,-123.00418,729.6908698777858
136,999900.0,2.0,3.0,0,0,1069.0,Burnaby,BC,49.215996,-122.97601,935.3601496725912
138,1400000.0,2.0,4.0,0,0,2214.0,New Westminster,BC,49.19341,-122.93953,632.3396567299006
141,2888000.0,6.0,5.0,0,0,5706.0,Coquitlam,BC,49.251064,-122.8707,506.13389414651243
143,1800000.0,6.0,5.0,0,0,3734.0,Surrey,BC,49.197166,-122.85899,482.05677557579
